Year,Position,Country
2010,22,Norway
2010,23,Slovakia
2010,24,Sweden
2010,25,Serbia
2010,26,Poland
2010,27,Croatia
2010,28,Belarus
2010,29,Republic of Ireland
2010,30,Finland
2010,31,Bosnia and Herzegovina
2010,32,Lithuania
2010,33,Latvia
2010,34,Moldova
2010,35,Slovenia
2010,36,Hungary
2010,37,Georgia
2010,38,Azerbaijan
2010,39,Iceland
2010,40,Macedonia
2010,41,Liechtenstein
2010,42,Kazakhstan
2010,43,Estonia
2010,44,Albania
2010,45,Armenia
2010,46,Wales
2010,47,Montenegro
2010,48,Faroe Islands
2010,49,Northern Ireland
2010,50,Luxembourg
2010,51,Andorra
2010,52,Malta
2010,53,San Marino
2011,1,England
2011,2,Spain
2011,3,Germany
2011,4,Italy
2011,5,France
2011,6,Portugal
2011,7,Russia
2011,8,Ukraine
2011,9,Netherlands
2011,10,Turkey
2011,11,Greece
2011,12,Denmark
2011,13,Belgium
2011,14,Romania
2011,15,Scotland
2011,16,Switzerland
2011,17,Israel
2011,18,Czech Republic
2011,19,Austria
2011,20,Cyprus
2011,21,Bulgaria
2011,22,Croatia
2011,23,Belarus
2011,24,Poland
2011,25,Slovakia
2011,26,Norway
2011,27,Serbia
2011,28,Sweden
2011,29,Bosnia and Herzegovina
2011,30,Finland
2011,31,Republic of Ireland
2011,32,Hungary
2011,33,Moldova
2011,34,Lithuania
2011,35,Latvia
2011,36,Georgia
2011,37,Azerbaijan
2011,38,Slovenia
2011,39,Macedonia
2011,40,Iceland
2011,41,Kazakhstan
2011,42,Liechtenstein
2011,43,Montenegro
2011,44,Albania
2011,45,Estonia
2011,46,Wales
2011,47,Armenia
2011,48,Malta
2011,49,Northern Ireland
2011,50,Faroe Islands
2011,51,Luxembourg
2011,52,Andorra
2011,53,San Marino
2012,1,England
2012,2,Spain
2012,3,Germany
2012,4,Italy
2012,5,Portugal
2012,6,France
2012,7,Russia
2012,8,Netherlands
2012,9,Ukraine
2012,10,Greece
2012,11,Turkey
2012,12,Belgium
2012,13,Denmark
2012,14,Switzerland
2012,15,Austria
2012,16,Cyprus
2012,17,Israel
2012,18,Scotland
2012,19,Czech Republic
2012,20,Poland
2012,21,Bulgaria
2012,22,Romania
2012,23,Belarus
2012,24,Sweden
2012,25,Slovakia
2012,26,Norway
2012,27,Serbia
2012,28,Croatia
2012,29,Hungary
2012,30,Georgia
2012,31,Bosnia and Herzegovina
2012,32,Finland
2012,33,Republic of Ireland
2012,34,Slovenia
2012,35,Lithuania
2012,36,Moldova
2012,37,Macedonia
2012,38,Azerbaijan
2012,39,Latvia
2012,40,Iceland
2012,41,Kazakhstan
2012,42,Montenegro
2012,43,Liechtenstein
2012,44,Albania
2012,45,Malta
2012,46,Wales
2012,47,Estonia
2012,48,Northern Ireland
2012,49,Luxembourg
2012,50,Armenia
2012,51,Faroe Islands
2012,52,Andorra
2012,53,San Marino
2013,1,Spain
2013,2,England
2013,3,Germany
2013,4,Italy
2013,5,Portugal
2013,6,France
2013,7,Ukraine
2013,8,Russia
2013,9,Netherlands
2013,10,Turkey
2013,11,Belgium
2013,12,Greece
2013,13,Switzerland
2013,14,Cyprus
2013,15,Denmark
2013,16,Austria
2013,17,Czech Republic
2013,18,Romania
2013,19,Israel
2013,20,Belarus
2013,21,Poland
2013,22,Croatia
2013,23,Sweden
2013,24,Scotland
2013,25,Serbia
2013,26,Slovakia
2013,27,Norway
2013,28,Bulgaria
2013,29,Hungary
2013,30,Slovenia
2013,31,Georgia
2013,32,Azerbaijan
2013,33,Finland
2013,34,Bosnia and Herzegovina
2013,35,Moldova
2013,36,Republic of Ireland
2013,37,Lithuania
2013,38,Kazakhstan
2013,39,Latvia
2013,40,Iceland
2013,41,Montenegro
2013,42,Macedonia
2013,43,Albania
2013,44,Malta
2013,45,Liechtenstein
2013,46,Luxembourg
2013,47,Northern Ireland
2013,48,Wales
2013,49,Estonia
2013,50,Armenia
2013,51,Faroe Islands
2013,52,San Marino
2013,53,Andorra
2014,1,Spain
2014,2,England
2014,3,Germany
2014,4,Italy
2014,5,Portugal
2014,6,France
2014,7,Russia
2014,8,Netherlands
2014,9,Ukraine
2014,10,Belgium
2014,11,Turkey
2014,12,Greece
2014,13,Switzerland
2014,14,Austria
2014,15,Czech Republic
2014,16,Romania
2014,17,Israel
2014,18,Cyprus
2014,19,Denmark
2014,20,Croatia
2014,21,Poland
2014,22,Belarus
2014,23,Scotland
2014,24,Sweden
2014,25,Bulgaria
2014,26,Norway
2014,27,Serbia
2014,28,Hungary
2014,29,Slovenia
2014,30,Slovakia
2014,31,Moldova
2014,32,Azerbaijan
2014,33,Georgia
2014,34,Kazakhstan
2014,35,Bosnia and Herzegovina
2014,36,Finland
2014,37,Iceland
2014,38,Latvia
2014,39,Montenegro
2014,40,Albania
2014,41,Lithuania
2014,42,Macedonia
2014,43,Republic of Ireland
2014,44,Luxembourg
2014,45,Malta
2014,46,Liechtenstein
2014,47,Northern Ireland
2014,48,Wales
2014,49,Armenia
2014,50,Estonia
2014,51,Faroe Islands
2014,52,San Marino
2014,53,Andorra
2014,54,Gibraltar
2015,1,Spain
2015,2,England
2015,3,Germany
2015,4,Italy
2015,5,Portugal
2015,6,France
2015,7,Russia
2015,8,Ukraine
2015,9,Netherlands
2015,10,Belgium
2015,11,Switzerland
2015,12,Turkey
2015,13,Greece
2015,14,Czech Republic
2015,15,Romania
2015,16,Austria
2015,17,Croatia
2015,18,Cyprus
2015,19,Poland
2015,20,Israel
2015,21,Belarus
2015,22,Denmark
2015,23,Scotland
2015,24,Sweden
2015,25,Bulgaria
2015,26,Norway
2015,27,Serbia
2015,28,Slovenia
2015,29,Azerbaijan
2015,30,Slovakia
2015,31,Hungary
2015,32,Kazakhstan
2015,33,Moldova
2015,34,Georgia
2015,35,Finland
2015,36,Iceland
2015,37,Bosnia and Herzegovina
2015,38,Liechtenstein
2015,39,Macedonia
2015,40,Republic of Ireland
2015,41,Montenegro
2015,42,Albania
2015,43,Luxembourg
2015,44,Northern Ireland
2015,45,Lithuania
2015,46,Latvia
2015,47,Malta
2015,48,Estonia
2015,49,Faroe Islands
2015,50,Wales
2015,51,Armenia
2015,52,Andorra
2015,53,San Marino
2015,54,Gibraltar
2016,1,Spain
2016,2,Germany
2016,3,England
2016,4,Italy
2016,5,Portugal
2016,6,France
2016,7,Russia
2016,8,Ukraine
2016,9,Belgium
2016,10,Netherlands
2016,11,Turkey
2016,12,Switzerland
2016,13,Czech Republic
2016,14,Greece
2016,15,Romania
2016,16,Austria
2016,17,Croatia
2016,18,Poland
2016,19,Cyprus
2016,20,Belarus
2016,21,Sweden
2016,22,Norway
2016,23,Israel
2016,24,Denmark
2016,25,Scotland
2016,26,Azerbaijan
2016,27,Serbia
2016,28,Kazakhstan
2016,29,Bulgaria
2016,30,Slovenia
2016,31,Slovakia
2016,32,Liechtenstein
2016,33,Hungary
2016,34,Moldova
2016,35,Iceland
2016,36,Georgia
2016,37,Finland
2016,38,Bosnia and Herzegovina
2016,39,Albania
2016,40,Macedonia
2016,41,Republic of Ireland
2016,42,Latvia
2016,43,Luxembourg
2016,44,Montenegro
2016,45,Lithuania
2016,46,Northern Ireland
2016,47,Estonia
2016,48,Armenia
2016,49,Faroe Islands
2016,50,Malta
2016,51,Wales
2016,52,Gibraltar
2016,53,Andorra
2016,54,San Marino
2017,1,Spain
2017,2,Germany
2017,3,England
2017,4,Italy
2017,5,France
2017,6,Russia
2017,7,Portugal
2017,8,Ukraine
2017,9,Belgium
2017,10,Turkey
2017,11,Czech Republic
2017,12,Switzerland
2017,13,Netherlands
2017,14,Greece
2017,15,Austria
2017,16,Croatia
2017,17,Romania
2017,18,Denmark
2017,19,Belarus
2017,20,Poland
2017,21,Sweden
2017,22,Israel
2017,23,Scotland
2017,24,Cyprus
2017,25,Norway
2017,26,Azerbaijan
2017,27,Bulgaria
2017,28,Serbia
2017,29,Kazakhstan
2017,30,Slovenia
2017,31,Slovakia
2017,32,Liechtenstein
2017,33,Hungary
2017,34,Moldova
2017,35,Iceland
2017,36,Finland
2017,37,Albania
2017,38,Republic of Ireland
2017,39,Bosnia and Herzegovina
2017,40,Georgia
2017,41,Latvia
2017,42,Macedonia
2017,43,Estonia
2017,44,Montenegro
2017,45,Armenia
2017,46,Luxembourg
2017,47,Northern Ireland
2017,48,Lithuania
2017,49,Malta
2017,50,Wales
2017,51,Faroe Islands
2017,52,Gibraltar
2017,53,Andorra
2017,54,San Marino
2017,55,Kosovo
2018,1,Spain
2018,2,England
2018,3,Italy
2018,4,Germany
2018,5,France
2018,6,Russia
2018,7,Portugal
2018,8,Ukraine
2018,9,Belgium
2018,10,Turkey
2018,11,Austria
2018,12,Switzerland
2018,13,Czech Republic
2018,14,Netherlands
2018,15,Greece
2018,16,Croatia
2018,17,Denmark
2018,18,Israel
2018,19,Cyprus
2018,20,Romania
2018,21,Poland
2018,22,Sweden
2018,23,Azerbaijan
2018,24,Bulgaria
2018,25,Serbia
2018,26,Scotland
2018,27,Belarus
2018,28,Kazakhstan
2018,29,Norway
2018,30,Slovenia
2018,31,Liechtenstein
2018,32,Slovakia
2018,33,Moldova
2018,34,Albania
2018,35,Iceland
2018,36,Hungary
2018,37,North Macedonia
2018,38,Finland
2018,39,Republic of Ireland
2018,40,Bosnia and Herzegovina
2018,41,Latvia
2018,42,Estonia
2018,43,Lithuania
2018,44,Montenegro
2018,45,Georgia
2018,46,Armenia
2018,47,Malta
2018,48,Luxembourg
2018,49,Northern Ireland
2018,50,Wales
2018,51,Faroe Islands
2018,52,Gibraltar
2018,53,Andorra
2018,54,San Marino
2018,55,Kosovo
2019,1,Spain
2019,2,England
2019,3,Italy
2019,4,Germany
2019,5,France
2019,6,Russia
2019,7,Portugal
2019,8,Belgium
2019,9,Ukraine
2019,10,Turkey
2019,11,Netherlands
2019,12,Austria
2019,13,Czech Republic
2019,14,Greece
2019,15,Croatia
2019,16,Denmark
2019,17,Switzerland
2019,18,Cyprus
2019,19,Serbia
2019,20,Scotland
2019,21,Belarus
2019,22,Sweden
2019,23,Norway
2019,24,Kazakhstan
2019,25,Poland
2019,26,Azerbaijan
2019,27,Israel
2019,28,Bulgaria
2019,29,Romania
2019,30,Slovakia
2019,31,Slovenia
2019,32,Liechtenstein
2019,33,Hungary
2019,34,North Macedonia
2019,35,Moldova
2019,36,Albania
2019,37,Republic of Ireland
2019,38,Finland
2019,39,Iceland
2019,40,Bosnia and Herzegovina
2019,41,Lithuania
2019,42,Latvia
2019,43,Luxembourg
2019,44,Armenia
2019,45,Malta
2019,46,Estonia
2019,47,Georgia
2019,48,Wales
2019,49,Montenegro
2019,50,Faroe Islands
2019,51,Gibraltar
2019,52,Northern Ireland
2019,53,Kosovo
2019,54,Andorra
2019,55,San Marino
2020,1,Spain
2020,2,England
2020,3,Germany
2020,4,Italy
2020,5,France
2020,6,Portugal
2020,7,Russia
2020,8,Belgium
2020,9,Ukraine
2020,10,Netherlands
2020,11,Turkey
2020,12,Austria
2020,13,Denmark
2020,14,Scotland
2020,15,Czech Republic
2020,16,Cyprus
2020,17,Switzerland
2020,18,Greece
2020,19,Serbia
2020,20,Croatia
2020,21,Sweden
2020,22,Norway
2020,23,Israel
2020,24,Kazakhstan
2020,25,Belarus
2020,26,Azerbaijan
2020,27,Bulgaria
2020,28,Romania
2020,29,Poland
2020,30,Slovakia
2020,31,Liechtenstein
2020,32,Slovenia
2020,33,Hungary
2020,34,Luxembourg
2020,35,Lithuania
2020,36,Armenia
2020,37,Latvia
2020,38,Albania
2020,39,North Macedonia
2020,40,Bosnia and Herzegovina
2020,41,Moldova
2020,42,Republic of Ireland
2020,43,Finland
2020,44,Georgia
2020,45,Malta
2020,46,Iceland
2020,47,Wales
2020,48,Northern Ireland
2020,49,Gibraltar
2020,50,Montenegro
2020,51,Estonia
2020,52,Kosovo
2020,53,Faroe Islands
2020,54,Andorra
2020,55,San Marino
2021,1,England
2021,2,Spain
2021,3,Italy
2021,4,Germany
2021,5,France
2021,6,Portugal
2021,7,Netherlands
2021,8,Russia
2021,9,Belgium
2021,10,Austria
2021,11,Scotland
2021,12,Ukraine
2021,13,Turkey
2021,14,Denmark
2021,15,Cyprus
2021,16,Serbia
2021,17,Czech Republic
2021,18,Croatia
2021,19,Switzerland
2021,20,Greece
2021,21,Israel
2021,22,Norway
2021,23,Sweden
2021,24,Bulgaria
2021,25,Romania
2021,26,Azerbaijan
2021,27,Kazakhstan
2021,28,Hungary
2021,29,Belarus
2021,30,Poland
2021,31,Slovenia
2021,32,Slovakia
2021,33,Liechtenstein
2021,34,Lithuania
2021,35,Luxembourg
2021,36,Bosnia and Herzegovina
2021,37,Republic of Ireland
2021,38,North Macedonia
2021,39,Armenia
2021,40,Latvia
2021,41,Albania
2021,42,Northern Ireland
2021,43,Georgia
2021,44,Finland
2021,45,Moldova
2021,46,Malta
2021,47,Faroe Islands
2021,48,Kosovo
2021,49,Gibraltar
2021,50,Montenegro
2021,51,Wales
2021,52,Iceland
2021,53,Estonia
2021,54,Andorra
2021,55,San Marino
2022,1,England
2022,2,Spain
2022,3,Italy
2022,4,Germany
2022,5,France
2022,6,Portugal
2022,7,Netherlands
2022,8,Austria
2022,9,Scotland
2022,10,Russia
2022,11,Serbia
2022,12,Ukraine
2022,13,Belgium
2022,14,Switzerland
2022,15,Greece
2022,16,Czech Republic
2022,17,Norway
2022,18,Denmark
2022,19,Croatia
2022,20,Turkey
2022,21,Cyprus
2022,22,Israel
2022,23,Sweden
2022,24,Bulgaria
2022,25,Romania
2022,26,Azerbaijan
2022,27,Hungary
2022,28,Poland
2022,29,Kazakhstan
2022,30,Slovakia
2022,31,Slovenia
2022,32,Belarus
2022,33,Moldova
2022,34,Lithuania
2022,35,Bosnia and Herzegovina
2022,36,Finland
2022,37,Luxembourg
2022,38,Latvia
2022,39,Kosovo
2022,40,Republic of Ireland
2022,41,Armenia
2022,42,Northern Ireland
2022,43,Albania
2022,44,Faroe Islands
2022,45,Estonia
2022,46,Malta
2022,47,Georgia
2022,48,North Macedonia
2022,49,Liechtenstein
2022,50,Wales
2022,51,Gibraltar
2022,52,Iceland
2022,53,Montenegro
2022,54,Andorra
2022,55,San Marino
2023,1,England
2023,2,Spain
2023,3,Germany
2023,4,Italy
2023,5,France
2023,6,Netherlands
2023,7,Portugal
2023,8,Belgium
2023,9,Scotland
2023,10,Austria
2023,11,Serbia
2023,12,Turkey
2023,13,Switzerland
2023,14,Ukraine
2023,15,Czech Republic
2023,16,Norway
2023,17,Denmark
2023,18,Russia
2023,19,Croatia
2023,20,Greece
2023,21,Israel
2023,22,Cyprus
2023,23,Sweden
2023,24,Poland
2023,25,Hungary
2023,26,Romania
2023,27,Bulgaria
2023,28,Slovakia
2023,29,Azerbaijan
2023,30,Kazakhstan
2023,31,Slovenia
2023,32,Moldova
2023,33,Kosovo
2023,34,Liechtenstein
2023,35,Latvia
2023,36,Republic of Ireland
2023,37,Finland
2023,38,Lithuania
2023,39,Armenia
2023,40,Belarus
2023,41,Bosnia and Herzegovina
2023,42,Luxembourg
2023,43,Faroe Islands
2023,44,Northern Ireland
2023,45,Malta
2023,46,Georgia
2023,47,Estonia
2023,48,Iceland
2023,49,Albania
2023,50,Wales
2023,51,Gibraltar
2023,52,North Macedonia
2023,53,Andorra
2023,54,Montenegro
2023,55,San Marino
2024,1,England
2024,2,Italy
2024,3,Spain
2024,4,Germany
2024,5,France
2024,6,Netherlands
2024,7,Portugal
2024,8,Belgium
2024,9,Turkey
2024,10,Czech Republic
2024,11,Scotland
2024,12,Switzerland
2024,13,Austria
2024,14,Norway
2024,15,Greece
2024,16,Denmark
2024,17,Israel
2024,18,Ukraine
2024,19,Serbia
2024,20,Croatia
2024,21,Poland
2024,22,Russia
2024,23,Cyprus
2024,24,Hungary
2024,25,Sweden
2024,26,Romania
2024,27,Bulgaria
2024,28,Azerbaijan
2024,29,Slovakia
2024,30,Slovenia
2024,31,Moldova
2024,32,Kosovo
2024,33,Kazakhstan
2024,34,Finland
2024,35,Republic of Ireland
2024,36,Armenia
2024,37,Latvia
2024,38,Faroe Islands
2024,39,Bosnia and Herzegovina
2024,40,Liechtenstein
2024,41,Iceland
2024,42,Northern Ireland
2024,43,Luxembourg
2024,44,Lithuania
2024,45,Malta
2024,46,Georgia
2024,47,Albania
2024,48,Estonia
2024,49,Belarus
2024,50,North Macedonia
2024,51,Andorra
2024,52,Wales
2024,53,Montenegro
2024,54,Gibraltar
2024,55,San Marino
2025,1,England
2025,2,Italy
2025,3,Spain
2025,4,Germany
2025,5,France
2025,6,Portugal
2025,7,Netherlands
2025,8,Belgium
2025,9,Turkey
2025,10,Czech Republic
2025,11,Greece
2025,12,Poland
2025,13,Denmark
2025,14,Norway
2025,15,Cyprus
2025,16,Switzerland
2025,17,Austria
2025,18,Scotland
2025,19,Sweden
2025,20,Croatia
2025,21,Israel
2025,22,Hungary
2025,23,Serbia
2025,24,Romania
2025,25,Ukraine
2025,26,Slovenia
2025,27,Azerbaijan
2025,28,Slovakia
2025,29,Bulgaria
2025,30,Russia
2025,31,Republic of Ireland
2025,32,Moldova
2025,33,Iceland
2025,34,Armenia
2025,35,Finland
2025,36,Kosovo
2025,37,Kazakhstan
2025,38,Bosnia and Herzegovina
2025,39,Latvia
2025,40,Faroe Islands
2025,41,Malta
2025,42,Liechtenstein
2025,43,Estonia
2025,44,Albania
2025,45,North Macedonia
2025,46,Lithuania
2025,47,Northern Ireland
2025,48,Gibraltar
2025,49,Georgia
2025,50,Luxembourg
2025,51,Montenegro
2025,52,Wales
2025,53,Andorra
2025,54,Belarus
2025,55,San Marino
